==================================================
        LR-IOTA PROTOCOL SIMULATION LOGGER        
==================================================
Timestamp(us)	ID	Message
19327680	ID:2	
19327680	ID:2	
19327680	ID:2	
19327680	ID:2	
19366440	ID:1	
19366440	ID:1	Receiving UDP packet
19491000	ID:1	
19491000	ID:1	No route found
19491000	ID:1	
19491000	ID:1	No route found
19491000	ID:1	
19491000	ID:1	
19505680	ID:2	
19505680	ID:2	Receiving UDP packet
19505680	ID:2	
19505680	ID:2	
19505680	ID:2	
19505680	ID:2	
19512440	ID:1	
19512440	ID:1	Receiving UDP packet
19637000	ID:1	
19637000	ID:1	No route found
19637000	ID:1	
19637000	ID:1	No route found
19637000	ID:1	
19637000	ID:1	
19672680	ID:2	
19672680	ID:2	Receiving UDP packet
19672680	ID:2	
19672680	ID:2	
19672680	ID:2	
19672680	ID:2	
19707440	ID:1	
19707440	ID:1	Receiving UDP packet
19832000	ID:1	
19832000	ID:1	No route found
19832000	ID:1	
19832000	ID:1	No route found
19832000	ID:1	
19832000	ID:1	
19839680	ID:2	
19839680	ID:2	Receiving UDP packet
19839680	ID:2	
19839680	ID:2	
19839680	ID:2	
19839680	ID:2	
19866440	ID:1	
19866440	ID:1	Receiving UDP packet
19991000	ID:1	
19991000	ID:1	No route found
19991000	ID:1	
19991000	ID:1	No route found
19991000	ID:1	
19991000	ID:1	
20016680	ID:2	
20016680	ID:2	Receiving UDP packet
20016680	ID:2	
20016680	ID:2	
20016680	ID:2	
20016680	ID:2	
20037440	ID:1	
20037440	ID:1	Receiving UDP packet
20162000	ID:1	
20162000	ID:1	No route found
20162000	ID:1	
20162000	ID:1	No route found
20162000	ID:1	
20162000	ID:1	
20204680	ID:2	
20204680	ID:2	Receiving UDP packet
20204680	ID:2	
20204680	ID:2	
20204680	ID:2	
20204680	ID:2	
20216440	ID:1	
20216440	ID:1	Receiving UDP packet
20341000	ID:1	
20341000	ID:1	No route found
20341000	ID:1	
20341000	ID:1	No route found
20341000	ID:1	
20341000	ID:1	
20369680	ID:2	
20369680	ID:2	Receiving UDP packet
20369680	ID:2	
20369680	ID:2	
20369680	ID:2	
20369680	ID:2	
20376440	ID:1	
20376440	ID:1	Receiving UDP packet
20501000	ID:1	
20501000	ID:1	No route found
20501000	ID:1	
20501000	ID:1	No route found
20501000	ID:1	
20501000	ID:1	
20525680	ID:2	
20525680	ID:2	Receiving UDP packet
20525680	ID:2	
20525680	ID:2	
20525680	ID:2	
20525680	ID:2	
20555440	ID:1	
20555440	ID:1	Receiving UDP packet
20680000	ID:1	
20680000	ID:1	No route found
20680000	ID:1	
20680000	ID:1	No route found
20680000	ID:1	
20680000	ID:1	
20711680	ID:2	
20711680	ID:2	Receiving UDP packet
20711680	ID:2	
20711680	ID:2	
20711680	ID:2	
20711680	ID:2	
20723440	ID:1	
20723440	ID:1	Receiving UDP packet
20848000	ID:1	
20848000	ID:1	No route found
20848000	ID:1	
20848000	ID:1	No route found
20848000	ID:1	
20848000	ID:1	
20856680	ID:2	
20856680	ID:2	Receiving UDP packet
20856680	ID:2	
20856680	ID:2	
20856680	ID:2	
20856680	ID:2	
20868440	ID:1	
20868440	ID:1	Receiving UDP packet
20993000	ID:1	
20993000	ID:1	No route found
20993000	ID:1	
20993000	ID:1	No route found
20993000	ID:1	
20993000	ID:1	
21003680	ID:2	
21003680	ID:2	Receiving UDP packet
21003680	ID:2	
21003680	ID:2	
21003680	ID:2	
21003680	ID:2	
21017440	ID:1	
21017440	ID:1	Receiving UDP packet
21142000	ID:1	
21142000	ID:1	No route found
21142000	ID:1	
21142000	ID:1	No route found
21142000	ID:1	
21142000	ID:1	
21183680	ID:2	
21183680	ID:2	Receiving UDP packet
21183680	ID:2	
21183680	ID:2	
21183680	ID:2	
21183680	ID:2	
21216440	ID:1	
21216440	ID:1	Receiving UDP packet
21341000	ID:1	
21341000	ID:1	No route found
21341000	ID:1	
21341000	ID:1	No route found
21341000	ID:1	
21341000	ID:1	
21380680	ID:2	
21380680	ID:2	Receiving UDP packet
21380680	ID:2	
21380680	ID:2	
21380680	ID:2	
21380680	ID:2	
21403440	ID:1	
21403440	ID:1	Receiving UDP packet
21528000	ID:1	
21528000	ID:1	No route found
21528000	ID:1	
21528000	ID:1	No route found
21528000	ID:1	
21528000	ID:1	
21556680	ID:2	
21556680	ID:2	Receiving UDP packet
21556680	ID:2	
21556680	ID:2	
21556680	ID:2	
21556680	ID:2	
21565440	ID:1	
21565440	ID:1	Receiving UDP packet
21690000	ID:1	
21690000	ID:1	No route found
21690000	ID:1	
21690000	ID:1	No route found
21690000	ID:1	
21690000	ID:1	
21708680	ID:2	
21708680	ID:2	Receiving UDP packet
21708680	ID:2	
21708680	ID:2	
21708680	ID:2	
21708680	ID:2	
21727440	ID:1	
21727440	ID:1	Receiving UDP packet
21852000	ID:1	
21852000	ID:1	No route found
21852000	ID:1	
21852000	ID:1	No route found
21852000	ID:1	
21852000	ID:1	
21866680	ID:2	
21866680	ID:2	Receiving UDP packet
21866680	ID:2	
21866680	ID:2	
21866680	ID:2	
21866680	ID:2	
21909440	ID:1	
21909440	ID:1	Receiving UDP packet
22034000	ID:1	
22034000	ID:1	No route found
22034000	ID:1	
22034000	ID:1	No route found
22034000	ID:1	
22034000	ID:1	
22062680	ID:2	
22062680	ID:2	Receiving UDP packet
22062680	ID:2	
22062680	ID:2	
22062680	ID:2	
22062680	ID:2	
22080440	ID:1	
22080440	ID:1	Receiving UDP packet
22205000	ID:1	
22205000	ID:1	No route found
22205000	ID:1	
22205000	ID:1	No route found
22205000	ID:1	
22205000	ID:1	
22232680	ID:2	
22232680	ID:2	Receiving UDP packet
22232680	ID:2	
22232680	ID:2	
22232680	ID:2	
22232680	ID:2	
22255440	ID:1	
22255440	ID:1	Receiving UDP packet
22380000	ID:1	
22380000	ID:1	No route found
22380000	ID:1	
22380000	ID:1	No route found
22380000	ID:1	
22380000	ID:1	
22395680	ID:2	
22395680	ID:2	Receiving UDP packet
22395680	ID:2	
22395680	ID:2	
22395680	ID:2	
22395680	ID:2	
22440440	ID:1	
22440440	ID:1	Receiving UDP packet
22565000	ID:1	
22565000	ID:1	No route found
22565000	ID:1	
22565000	ID:1	No route found
22565000	ID:1	
22565000	ID:1	
22575680	ID:2	
22575680	ID:2	Receiving UDP packet
22575680	ID:2	
22575680	ID:2	
22575680	ID:2	
22575680	ID:2	
22576680	ID:2	Reassembly complete. Verifying baseline payload...
22576680	ID:2	Verifying Ring-LWE Signature...
22576680	ID:2	Ring signature verified: SUCCESS
22576680	ID:2	Decoding LDPC syndrome to recover session error vector...
22576680	ID:2	Running KEM AES-128-CTR Decryption...
22576680	ID:2	========================================
22576680	ID:2	*** BASELINE NOT AMORTIZED ***
22576680	ID:2	========================================
22584440	ID:1	
22584440	ID:1	Receiving UDP packet
26718040	ID:1	
26718040	ID:1	Refreshing default
27709000	ID:1	
27709000	ID:1	======================================================
27709000	ID:1	======================================================
27709000	ID:1	Initializing LDPC public key...
27709000	ID:1	Generating LDPC error vector...
27709000	ID:1	Encoding syndrome...
27709000	ID:1	Executing KEM AES-128-CTR Encrytion...
27709000	ID:1	
27709000	ID:1	No route found
27709000	ID:1	
27709000	ID:1	No route found
27709000	ID:1	
27709000	ID:1	
27741680	ID:2	
27741680	ID:2	Receiving UDP packet
27741680	ID:2	
27741680	ID:2	
27741680	ID:2	
27741680	ID:2	
27773440	ID:1	
27773440	ID:1	Receiving UDP packet
27898000	ID:1	
27898000	ID:1	No route found
27898000	ID:1	
27898000	ID:1	No route found
27898000	ID:1	
27898000	ID:1	
27942680	ID:2	
27942680	ID:2	Receiving UDP packet
27942680	ID:2	
27942680	ID:2	
27942680	ID:2	
27942680	ID:2	
27951440	ID:1	
27951440	ID:1	Receiving UDP packet
28076000	ID:1	
28076000	ID:1	No route found
28076000	ID:1	
28076000	ID:1	No route found
28076000	ID:1	
28076000	ID:1	
28107680	ID:2	
28107680	ID:2	Receiving UDP packet
28107680	ID:2	
28107680	ID:2	
28107680	ID:2	
28107680	ID:2	
28130440	ID:1	
28130440	ID:1	Receiving UDP packet
28255000	ID:1	
